Order,Placing,Name,R1-P,R1-W,,R2-P,R2-W,,R3-P,R3-W,,,,,,,,,,,,,,,,,,,,,,,Points,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41st,Pete Jackson,6,19-04,,10,8-11,,4,10-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,20,38-05,45th,38-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42nd,Peter Benge,10,4-15,,10,6-05,,1,35-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,21,47-02,22nd,47-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43rd,Tony Morris,2,31-12,,10,9-15,,10,6-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,22,47-12,19th,47-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44th,Steve Clark,9,15-11,,10,9-07,,3,13-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,22,38-11,42nd,38-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45th,Dave Wray,4,19-13,,10,7-15,,8,10-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,22,38-09,44th,38-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46th,Andy Starkey,6,11-09,,9,7-07,,7,12-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,22,31-02,61st,31-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47th,Will Freeman,7,17-13,,8,13-09,,8,10-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,41-14,30th,41-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48th,Lee Lawrence,9,15-03,,4,15-06,,10,9-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,39-13,36th,39-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,49th,Ian Holmes,9,10-09,,8,17-00,,6,9-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,36-14,48th,36-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,50th,Barrie Lockey,5,15-06,,10,7-14,,8,13-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,36-04,50th,36-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,51st,Robin Austrin,4,16-04,,9,8-05,,10,10-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,35-08,51st,35-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,52nd,Ray King,10,14-12,,7,10-14,,6,7-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,33-09,54th,33-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,53rd,Andy Ison,10,6-10,,5,12-13,,8,11-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,23,31-05,60th,31-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,54th,Chris Sykes,10,11-03,,7,17-06,,7,9-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,24,37-12,47th,37-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,55th,Mark Franklin,10,6-12,,9,13-07,,5,13-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,24,33-08,55th,33-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,56th,John Brice,9,9-04,,8,8-13,,7,15-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,24,33-04,56th,33-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,57th,Doug Botley,9,12-06,,7,13-12,,9,10-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,25,36-09,49th,36-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,58th,Wayne Mitchell,8,16-14,,9,9-15,,8,6-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,25,33-03,58th,33-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,59th,Rob Shannon,10,11-05,,5,11-05,,10,5-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,25,28-07,63rd,28-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60th,Richard Jacobs,10,6-09,,9,16-03,,7,10-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,26,33-10,53rd,33-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,61st,Roly Leftley,10,7-00,,10,7-15,,6,13-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,26,28-03,64th,28-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,62nd,Jonathan Trevitt,7,15-01,,10,11-06,,10,5-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,31-08,59th,31-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,63rd,Sean James,7,11-07,,10,7-01,,10,8-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,27-02,65th,27-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,64th,Nigel Knights,10,7-15,,8,13-04,,10,5-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,28,26-12,66th,26-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,65th,Andy Clarke,10,6-02,,9,11-07,,10,6-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,29,23-13,68th,23-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,66th,Gary Abbott,10,9-10,,10,15-01,,10,10-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,30,34-12,52nd,34-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,67th,Matthew Schader,10,13-14,,10,8-01,,10,8-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,30,30-08,62nd,30-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,68th,Andy King,10,7-04,,10,7-03,,10,10-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,30,25-06,67th,25-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,69th,Richard Bambury,10,9-09,,10,8-00,,10,6-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,30,23-11,69th,23-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,70th,Danny Cruse,10,8-05,,10,6-12,,10,0-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,30,15-01,70th,15-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,71st,Andy Harvey,10,1-07,,10,5-05,,10,3-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,30,10-09,71st,10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
