Order,Placing,Name,R1-P,R1-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points,Weight,,
47,47th,Ian Bailey,8,11-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,11-01,52nd,11-01
48,48th,Steve Day,8,10-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,10-01,56th,10-01
49,49th,Steve Clark,9,15-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,15-11,33rd,15-11
50,50th,Lee Lawrence,9,15-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,15-03,38th,15-03
51,51st,Doug Botley,9,12-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,12-06,44th,12-06
52,52nd,Ian Holmes,9,10-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,10-09,55th,10-09
53,53rd,Terry Moroz,9,9-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,9-15,57th,9-15
54,54th,John Brice,9,9-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,9-04,61st,9-04
55,55th,Ray King,10,14-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,14-12,41st,14-12
56,56th,Matthew Schader,10,13-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,13-14,43rd,13-14
57,57th,Rob Shannon,10,11-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,11-05,50th,11-05
58,58th,Chris Sykes,10,11-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,11-03,51st,11-03
59,59th,Gary Abbott,10,9-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,9-10,58th,9-10
60,60th,Richard Bambury,10,9-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,9-09,59th,9-09
61,61st,Karl Dowse,10,9-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,9-06,60th,9-06
